"team","team_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Athletics","OAK","2023","6384","4286",0.266,0.254,0.01200000000000001,0.453,0.433,0.020000000000000018,0.348,0.34,0.007999999999999952
"Rockies","COL","2023","6316","4513",0.288,0.27,0.01799999999999996,0.486,0.455,0.030999999999999972,0.363,0.349,0.014000000000000012
"Reds","CIN","2023","6310","4232",0.257,0.248,0.009000000000000008,0.443,0.416,0.027000000000000024,0.337,0.327,0.010000000000000009
"Angels","LAA","2023","6305","4131",0.252,0.247,0.0050000000000000044,0.422,0.414,0.008000000000000007,0.329,0.326,0.0030000000000000027
"White Sox","CWS","2023","6301","4083",0.249,0.246,0.0030000000000000027,0.424,0.411,0.013000000000000012,0.331,0.328,0.0030000000000000027
"Nationals","WSH","2023","6285","4401",0.273,0.272,0.0010000000000000009,0.457,0.466,-0.009000000000000008,0.345,0.351,-0.006000000000000005
"Cardinals","STL","2023","6273","4462",0.276,0.267,0.009000000000000008,0.447,0.439,0.008000000000000007,0.341,0.337,0.0040000000000000036
"Pirates","PIT","2023","6238","4193",0.251,0.256,-0.0050000000000000044,0.413,0.419,-0.006000000000000005,0.324,0.33,-0.006000000000000005
"Red Sox","BOS","2023","6168","4160",0.256,0.243,0.013000000000000012,0.433,0.408,0.025000000000000022,0.327,0.315,0.01200000000000001
"Guardians","CLE","2023","6144","4243",0.246,0.254,-0.008000000000000007,0.4,0.421,-0.020999999999999963,0.312,0.325,-0.013000000000000012
"Royals","KC","2023","6139","4236",0.262,0.26,0.0020000000000000018,0.442,0.437,0.0050000000000000044,0.336,0.336,0
"Braves","ATL","2023","6135","4012",0.245,0.245,0,0.398,0.402,-0.0040000000000000036,0.313,0.316,-0.0030000000000000027
"Mets","NYM","2023","6115","4036",0.247,0.244,0.0030000000000000027,0.406,0.41,-0.003999999999999948,0.321,0.323,-0.0020000000000000018
"Astros","HOU","2023","6110","4036",0.241,0.241,0,0.408,0.417,-0.009000000000000008,0.315,0.32,-0.0050000000000000044
"Blue Jays","TOR","2023","6100","4020",0.241,0.242,-0.0010000000000000009,0.403,0.407,-0.003999999999999948,0.308,0.311,-0.0030000000000000027
"D-backs","AZ","2023","6100","4175",0.251,0.253,-0.0020000000000000018,0.429,0.43,-0.0010000000000000009,0.323,0.326,-0.0030000000000000027
"Orioles","BAL","2023","6098","4129",0.242,0.249,-0.007000000000000006,0.395,0.414,-0.01899999999999996,0.305,0.317,-0.01200000000000001
"Marlins","MIA","2023","6091","4013",0.246,0.241,0.0050000000000000044,0.413,0.4,0.012999999999999956,0.316,0.312,0.0040000000000000036
"Cubs","CHC","2023","6085","4130",0.244,0.252,-0.008000000000000007,0.399,0.407,-0.007999999999999952,0.311,0.32,-0.009000000000000008
"Padres","SD","2023","6082","4001",0.236,0.238,-0.0020000000000000018,0.383,0.384,-0.0010000000000000009,0.305,0.309,-0.0040000000000000036
"Yankees","NYY","2023","6078","4040",0.234,0.24,-0.005999999999999978,0.396,0.397,-0.0010000000000000009,0.307,0.312,-0.0050000000000000044
"Phillies","PHI","2023","6074","4096",0.24,0.24,0,0.397,0.386,0.01100000000000001,0.304,0.303,0.0010000000000000009
"Tigers","DET","2023","6073","4166",0.24,0.249,-0.009000000000000008,0.399,0.419,-0.019999999999999962,0.305,0.319,-0.014000000000000012
"Giants","SF","2023","6039","4199",0.253,0.25,0.0030000000000000027,0.408,0.404,0.003999999999999948,0.311,0.31,0.0010000000000000009
"Twins","MIN","2023","6028","3961",0.236,0.23,0.005999999999999978,0.398,0.386,0.01200000000000001,0.302,0.297,0.0050000000000000044
"Rangers","TEX","2023","6025","4123",0.245,0.242,0.0030000000000000027,0.406,0.405,0.0010000000000000009,0.311,0.312,-0.0010000000000000009
"Dodgers","LAD","2023","6018","4099",0.236,0.244,-0.008000000000000007,0.4,0.403,-0.0030000000000000027,0.304,0.31,-0.006000000000000005
"Mariners","SEA","2023","6006","4069",0.237,0.242,-0.0050000000000000044,0.392,0.395,-0.0030000000000000027,0.298,0.304,-0.006000000000000005
"Rays","TB","2023","5994","3983",0.231,0.235,-0.003999999999999976,0.386,0.39,-0.0040000000000000036,0.296,0.301,-0.0050000000000000044
"Brewers","MIL","2023","5990","4006",0.226,0.241,-0.014999999999999986,0.385,0.394,-0.009000000000000008,0.297,0.309,-0.01200000000000001
