TEAM;LEAGUE;G;AB;R;H;2B;3B;HR;RBI;BB;SO;SB;CS;AVG;OBP;SLG;OPS
Atlanta Braves;Nl;162;5597;947;1543;293;23;307;916;538;1289;132;27;0.276;0.344;0.501;0.845
Los Angeles Dodgers;Nl;162;5524;906;1422;303;20;249;877;644;1359;105;25;0.257;0.34;0.455;0.795
Minnesota Twins;Al;162;5489;778;1336;264;24;233;745;594;1654;86;18;0.243;0.326;0.428;0.754
Texas Rangers;Al;162;5595;881;1470;326;18;233;845;599;1416;79;19;0.263;0.337;0.452;0.789
Los Angeles Angels;Al;162;5489;739;1346;248;26;231;708;518;1524;72;31;0.245;0.317;0.426;0.743
Tampa Bay Rays;Al;162;5511;860;1432;282;24;230;827;514;1420;160;41;0.26;0.331;0.445;0.776
Houston Astros;Al;162;5567;827;1441;280;22;222;799;550;1241;107;32;0.259;0.331;0.437;0.768
Philadelphia Phillies;Nl;162;5541;796;1417;291;29;220;771;539;1481;141;26;0.256;0.327;0.438;0.765
New York Yankees;Al;162;5323;673;1207;221;15;219;650;557;1427;100;30;0.227;0.304;0.397;0.701
New York Mets;Nl;162;5363;717;1276;221;21;215;692;525;1331;118;15;0.238;0.316;0.407;0.723
Seattle Mariners;Al;162;5500;758;1332;283;12;210;728;548;1603;118;30;0.242;0.321;0.413;0.734
St. Louis Cardinals;Nl;162;5510;719;1376;264;12;209;697;570;1326;101;29;0.25;0.326;0.416;0.742
San Diego Padres;Nl;162;5401;752;1316;273;14;205;719;653;1311;137;32;0.244;0.329;0.413;0.742
Cincinnati Reds;Nl;162;5499;783;1371;268;37;198;747;556;1500;190;48;0.249;0.327;0.42;0.747
Chicago Cubs;Nl;162;5504;819;1399;269;30;196;786;570;1391;140;34;0.254;0.33;0.421;0.751
Toronto Blue Jays;Al;162;5562;746;1423;292;19;188;705;550;1303;99;34;0.256;0.329;0.417;0.746
Baltimore Orioles;Al;162;5495;807;1399;309;28;183;780;512;1370;114;24;0.255;0.321;0.421;0.742
Boston Red Sox;Al;162;5562;772;1437;339;19;182;734;486;1372;112;26;0.258;0.324;0.424;0.748
San Francisco Giants;Nl;162;5412;674;1271;256;13;174;651;544;1492;57;16;0.235;0.312;0.383;0.695
Chicago White Sox;Al;162;5501;641;1308;264;13;171;617;377;1424;86;22;0.238;0.291;0.384;0.675
Oakland Athletics;Al;162;5311;585;1187;225;21;171;563;498;1496;149;31;0.223;0.298;0.37;0.668
Arizona Diamondbacks;Nl;162;5436;746;1359;274;44;166;706;540;1247;166;26;0.25;0.322;0.408;0.73
Miami Marlins;Nl;162;5497;666;1423;258;23;166;633;430;1287;86;21;0.259;0.316;0.405;0.721
Detroit Tigers;Al;162;5478;661;1292;245;29;165;635;508;1473;85;23;0.236;0.305;0.382;0.687
Milwaukee Brewers;Nl;162;5386;728;1290;257;16;165;696;591;1412;129;28;0.24;0.319;0.385;0.704
Colorado Rockies;Nl;162;5496;721;1368;305;31;163;685;447;1543;76;25;0.249;0.31;0.405;0.715
Kansas City Royals;Al;162;5428;676;1325;258;43;163;651;411;1396;163;47;0.244;0.303;0.398;0.701
Pittsburgh Pirates;Nl;162;5406;692;1293;287;31;159;662;556;1464;117;41;0.239;0.315;0.392;0.707
Washington Nationals;Nl;162;5522;700;1401;279;26;151;665;423;1149;127;29;0.254;0.314;0.396;0.71
Cleveland Guardians;Al;162;5513;662;1379;294;29;124;622;471;1142;151;36;0.25;0.313;0.381;0.694
